2013-01-01 ,   , 理财业务 , 中银理财 , 2596 , 348304 , 1344
2013-01-16 ,   , 理财业务 , 中银理财 , 3015 , 955653 , 3062
2013-01-31 ,   , 理财业务 , 中银理财 , 1422 , 846833 , 4938
2013-02-15 ,   , 理财业务 , 中银理财 , 2832 , 593182 , 4435
2013-03-02 ,   , 理财业务 , 中银理财 , 2914 , 903927 , 2606
2013-03-17 ,   , 理财业务 , 中银理财 , 2981 , 404333 , 1422
2013-04-01 ,   , 理财业务 , 中银理财 , 1803 , 562231 , 3563
2013-04-16 ,   , 理财业务 , 中银理财 , 3486 , 716412 , 2484
2013-05-01 ,   , 理财业务 , 中银理财 , 2889 , 564078 , 721
2013-05-16 ,   , 理财业务 , 中银理财 , 3770 , 565099 , 2784
2013-05-31 ,   , 理财业务 , 中银理财 , 1566 , 249125 , 1150
2013-06-15 ,   , 理财业务 , 中银理财 , 3967 , 36635 , 1392
2013-06-30 ,   , 理财业务 , 中银理财 , 1407 , 340475 , 4727
2013-07-15 ,   , 理财业务 , 中银理财 , 3981 , 549672 , 1777
2013-07-30 ,   , 理财业务 , 中银理财 , 3902 , 842194 , 2883
2013-08-14 ,   , 理财业务 , 中银理财 , 1607 , 645931 , 1833
2013-08-29 ,   , 理财业务 , 中银理财 , 2331 , 985822 , 2987
2013-09-13 ,   , 理财业务 , 中银理财 , 3543 , 420598 , 821
2013-09-28 ,   , 理财业务 , 中银理财 , 2651 , 999420 , 4732
2013-10-13 ,   , 理财业务 , 中银理财 , 2659 , 303632 , 1650
2013-01-01 ,   , 理财业务 , 外汇 , 1161 , 826156 , 4788
2013-01-16 ,   , 理财业务 , 外汇 , 1543 , 939071 , 1051
2013-01-31 ,   , 理财业务 , 外汇 , 1348 , 108502 , 3384
2013-02-15 ,   , 理财业务 , 外汇 , 3194 , 741764 , 3274
2013-03-02 ,   , 理财业务 , 外汇 , 2476 , 937108 , 3521
2013-03-17 ,   , 理财业务 , 外汇 , 3909 , 915529 , 2644
2013-04-01 ,   , 理财业务 , 外汇 , 3666 , 916238 , 2268
2013-04-16 ,   , 理财业务 , 外汇 , 3731 , 657397 , 2985
2013-05-01 ,   , 理财业务 , 外汇 , 2710 , 640302 , 1960
2013-05-16 ,   , 理财业务 , 外汇 , 3445 , 753966 , 2284
2013-05-31 ,   , 理财业务 , 外汇 , 2318 , 170518 , 4352
2013-06-15 ,   , 理财业务 , 外汇 , 1977 , 226924 , 4901
2013-06-30 ,   , 理财业务 , 外汇 , 3108 , 271221 , 519
2013-07-15 ,   , 理财业务 , 外汇 , 2331 , 765388 , 4335
2013-07-30 ,   , 理财业务 , 外汇 , 3235 , 72496 , 4905
2013-08-14 ,   , 理财业务 , 外汇 , 2191 , 805573 , 2108
2013-08-29 ,   , 理财业务 , 外汇 , 3870 , 897822 , 4497
2013-09-13 ,   , 理财业务 , 外汇 , 2711 , 363830 , 1417
2013-09-28 ,   , 理财业务 , 外汇 , 2268 , 242207 , 1010
2013-10-13 ,   , 理财业务 , 外汇 , 1327 , 439178 , 3085
2013-01-01 ,   , 理财业务 , 基金 , 3546 , 530641 , 1188
2013-01-16 ,   , 理财业务 , 基金 , 1760 , 466257 , 1886
2013-01-31 ,   , 理财业务 , 基金 , 2137 , 262106 , 4879
2013-02-15 ,   , 理财业务 , 基金 , 3789 , 900079 , 1227
2013-03-02 ,   , 理财业务 , 基金 , 3711 , 504817 , 3479
2013-03-17 ,   , 理财业务 , 基金 , 3568 , 133627 , 4126
2013-04-01 ,   , 理财业务 , 基金 , 2484 , 731051 , 1199
2013-04-16 ,   , 理财业务 , 基金 , 3385 , 495373 , 2720
